,Guild Info,uuid,name,role,First Join,Last Join
0,Name: ,uuid_14604ae9092d477cbdb5357757eaf867,[MVP+] Ultra_timelord,Guild Master,2019/09/06 11:55:22,2021/09/17 21:52:35
1, ULTRATRYHARDS,uuid_27d1d7b3435e4183b06c730312e03663,[MVP+] Mo_Ngai,Guild Founder,2019/09/28 01:19:45,2021/09/05 18:58:21
2,Tag: ,uuid_555bc9312d2448a49160b48041d852be,[MVP+] 3y_,Guild Founder,2020/04/23 05:24:41,2021/09/14 08:55:11
3,✧ULTRA✧,uuid_db0700451ae748dfa5a32ddbfab5ac6c,[VIP] Joshyy2021,Guild Founder,2021/08/11 07:50:20,2021/09/18 04:54:58
4,Created:,uuid_bcdca89d6920477cba1823f32f601c06,[VIP] Ultratimelord,Guild Founder,2021/09/03 07:35:48,2021/09/10 05:52:23
5, 2019/04/17 04:32:05,uuid_e0a94755c418461cbe2cf1c30a55a834,[MVP++] oBlck,Cute Master,2021/09/04 22:29:51,2021/09/17 22:56:29
6,Members:,uuid_0d3f714649364361b3f6f7b17d0b97b5,[MVP+] oWhte,Cute Master,2021/09/11 01:22:52,2021/09/17 13:09:03
7, 124,uuid_dce038d829e649f996b8c9339de92556,[MVP+] Anthony0u0,Uth Staff Team,2019/08/24 14:16:53,2021/08/25 09:21:50
8,Level:,uuid_7286dbd0d6e2437b8aa567f9406cc91c,[MVP+] prefikx,Uth Staff Team,2021/09/04 05:05:47,2021/09/18 03:26:43
9, 75,uuid_be8c2fcc9d514bcab435b29508a7eec4,[MVP++] bqgs,Uth Staff Team,2021/09/05 12:57:19,2021/09/17 22:27:58
10,Online Players:,uuid_1d649a8bff66401c92990625dee7cce7,[VIP] MuteGod,Uth Staff Team,2021/09/14 08:20:19,2021/09/14 12:42:08
11, 32,uuid_b3ef2fa133fb4787b125a7f22724ab4e,[VIP+] Vencendor,Ultra Crystal,2019/06/15 01:28:31,2021/09/17 14:10:55
12,,uuid_60abde8bfcda4d3a94f963023daba7f6,[MVP+] 9zo,Ultra Crystal,2019/09/14 07:07:58,2021/09/12 19:22:21
13,,uuid_fdf80de5c14f4e29acdade503817b013,[MVP++] 51mb,Ultra Crystal,2021/08/15 07:58:28,2021/09/17 11:31:52
14,,uuid_972aa7e1263d47c0b6b6106a91ee7b26,[VIP+] vitalacy,Ultra Crystal,2021/08/17 09:03:46,2021/09/15 16:38:41
15,,uuid_84e5b5e239bd437a9f8e6d65cf3a91f8,[VIP] hajile16,Ultra Crystal,2021/08/29 02:45:39,2021/09/18 02:33:40
16,,uuid_dbb2dc62cf56438ea7b85c0efeed3204,[VIP] IAM4U,Ultra Crystal,2021/08/29 03:49:38,2021/09/18 04:10:48
17,,uuid_c473c73d60bf4a3b8a5be0d0545c9c58,[VIP] AdventureRoof,Ultra Crystal,2021/08/29 22:22:39,2021/09/17 22:05:51
18,,uuid_127bedbc7cae4cde9304dfd12f17108c,[VIP] Feetburgerz,Ultra Crystal,2021/08/30 08:46:14,2021/09/18 00:38:23
19,,uuid_63d32bf882e344939312f3e1187b0127, Dapanda2000,Ultra Crystal,2021/08/30 08:47:23,2021/09/18 03:46:52
20,,uuid_088c1207901e4f3f95dacb065af3c515,[MVP+] clownpierc,Ultra Crystal,2021/08/30 23:20:17,2021/09/18 01:30:46
21,,uuid_80048a177e8b44a0b62c9db6f60b3428,[VIP] Kazayy,Ultra Crystal,2021/08/31 22:13:59,2021/09/16 23:44:28
22,,uuid_cab71e1593bb45329ab3d7fefcf6d852,[MVP++] LuckyXYZ12,Ultra Crystal,2021/09/02 10:32:37,2021/09/18 03:36:21
23,,uuid_07b0eb93e09d49a0978663f7645d2d0d,[MVP++] ilyKhura,Ultra Crystal,2021/09/02 22:04:45,2021/09/17 20:49:02
24,,uuid_efe939f0df10435eb3d30661359023f8,[MVP+] will0wed,Ultra Crystal,2021/09/03 10:53:16,2021/09/18 04:09:10
25,,uuid_2c48931e14874a378bb3d6980141f220,[VIP] Esqy,Ultra Crystal,2021/09/03 23:50:22,2021/09/18 00:02:37
26,,uuid_ff69ddcdc2ae4f8faf159402f0bc6528,[VIP] CSTORM88,Ultra Crystal,2021/09/03 23:50:31,2021/09/18 02:05:06
27,,uuid_5b53d7dcd1004598a66e3f1632be3c2c,[MVP++] creamaster,Ultra Crystal,2021/09/03 23:50:42,2021/09/17 13:08:35
28,,uuid_a11d6be8e69a4d399cf69e056ae5c278,[MVP+] despairings,Ultra Crystal,2021/09/04 01:43:49,2021/09/17 17:37:19
29,,uuid_0b0ad6ee57a04d378ddc074421c4557e,[VIP] dejectings,Ultra Crystal,2021/09/04 01:44:01,2021/09/17 16:50:41
30,,uuid_4653e7495b1342edab51d0749cc2ddae,[MVP+] hmzel,Ultra Crystal,2021/09/04 01:55:07,2021/09/17 04:47:50
31,,uuid_a814306b66fb4053ba5ad44558fcd758,[MVP+] Congradulator,Ultra Crystal,2021/09/04 02:41:02,2021/09/17 11:56:13
32,,uuid_9314626b95d348da9449d97fc033c605,[MVP++] Felty2IQ,Ultra Crystal,2021/09/04 04:26:21,2021/09/17 09:31:54
